,isWeekend,Seasons,Holiday,Hour,isWorkingHour,Temperature,Humidity,Wind speed,Solar Radiation,Rented Bike Count
63,1,3,0,15,1,8.0,73,1.2649110640673518,0.53,621
64,1,3,0,16,1,7.6,77,1.2649110640673518,0.2,598
65,1,3,0,17,1,6.7,82,1.224744871391589,0.05,545
66,1,3,0,18,1,6.0,84,1.378404875209022,0.0,443
67,1,3,0,19,1,5.7,85,1.3038404810405297,0.0,422
68,1,3,0,20,0,5.2,87,1.1832159566199232,0.0,397
69,1,3,0,21,0,4.7,87,1.0954451150103321,0.0,385
70,1,3,0,22,0,4.3,89,1.3416407864998738,0.0,350
71,1,3,0,23,0,3.9,90,1.140175425099138,0.0,303
72,0,3,0,0,0,4.2,88,0.7745966692414834,0.0,285
73,0,3,0,1,0,4.3,87,0.7071067811865476,0.0,186
74,0,3,0,2,0,4.4,87,1.3416407864998738,0.0,112
75,0,3,0,3,0,3.6,85,1.51657508881031,0.0,65
76,0,3,0,4,0,2.8,89,1.224744871391589,0.0,41
77,0,3,0,5,0,2.0,83,1.6431676725154984,0.0,82
78,0,3,0,6,0,1.2,76,1.9235384061671346,0.0,200
79,0,3,0,7,0,0.2,68,1.8439088914585775,0.0,498
80,0,3,0,8,1,-0.8,69,1.8708286933869707,0.01,937
81,0,3,0,9,1,-1.5,47,2.04939015319192,0.22,509
82,0,3,0,10,1,-1.1,40,2.1213203435596424,0.64,311
83,0,3,0,11,1,-0.5,41,2.0248456731316584,0.94,379
84,0,3,0,12,1,-0.3,38,2.1908902300206643,1.11,393
85,0,3,0,13,1,0.0,30,2.32379000772445,1.17,391
86,0,3,0,14,1,0.1,27,2.1213203435596424,1.09,338
87,0,3,0,15,1,-0.1,25,2.4083189157584592,0.88,341
88,0,3,0,16,1,-0.2,23,2.16794833886788,0.55,375
89,0,3,0,17,1,-1.3,26,2.3021728866442674,0.18,515
90,0,3,0,18,1,-2.1,29,1.9748417658131499,0.0,807
91,0,3,0,19,1,-2.9,32,1.7888543819998317,0.0,568
92,0,3,0,20,0,-3.6,38,1.7320508075688772,0.0,398
93,0,3,0,21,0,-4.6,43,2.1213203435596424,0.0,397
94,0,3,0,22,0,-5.3,45,1.5811388300841898,0.0,353
95,0,3,0,23,0,-5.8,44,1.5491933384829668,0.0,248
96,0,3,0,0,0,-6.1,42,1.61245154965971,0.0,216
97,0,3,0,1,0,-6.5,41,1.6733200530681511,0.0,198
98,0,3,0,2,0,-6.8,41,1.5811388300841898,0.0,124
99,0,3,0,3,0,-6.9,39,1.4142135623730951,0.0,62
100,0,3,0,4,0,-7.2,34,1.7320508075688772,0.0,42
101,0,3,0,5,0,-7.4,33,1.61245154965971,0.0,82
102,0,3,0,6,0,-7.4,34,1.7888543819998317,0.0,172
103,0,3,0,7,0,-7.5,33,1.4832396974191326,0.0,381
104,0,3,0,8,1,-8.1,36,1.2649110640673518,0.01,812
105,0,3,0,9,1,-7.6,31,1.140175425099138,0.21,462
106,0,3,0,10,1,-5.5,26,1.6733200530681511,0.64,269
107,0,3,0,11,1,-3.9,25,0.0,0.0,334
108,0,3,0,12,1,-2.3,25,0.0,0.0,321
109,0,3,0,13,1,-1.6,27,0.0,0.0,325
110,0,3,0,14,1,-1.1,28,0.0,0.0,334
111,0,3,0,15,1,-0.7,28,0.0,0.0,353
112,0,3,0,16,1,-0.5,30,0.0,0.0,435
113,0,3,0,17,1,-1.6,35,0.0,0.0,529
114,0,3,0,18,1,-2.6,40,0.0,0.0,789
115,0,3,0,19,1,-3.2,45,0.0,0.0,597
116,0,3,0,20,0,-3.5,46,0.0,0.0,418
117,0,3,0,21,0,-3.7,47,0.0,0.0,415
118,0,3,0,22,0,-2.8,49,0.0,0.0,393
119,0,3,0,23,0,-2.5,59,0.0,0.0,244
120,0,3,0,0,0,-2.8,77,0.0,0.0,145
121,0,3,0,1,0,-3.0,79,0.0,0.0,144
122,0,3,0,2,0,-3.0,79,0.0,0.0,117
123,0,3,0,3,0,-3.2,78,0.0,0.0,78
124,0,3,0,4,0,-3.4,75,0.0,0.0,58
125,0,3,0,5,0,-3.6,76,0.0,0.0,87
126,0,3,0,6,0,-3.7,76,0.0,0.0,142
127,0,3,0,7,0,-4.2,77,0.0,0.0,379
128,0,3,0,8,1,-4.2,78,0.0,0.01,802
129,0,3,0,9,1,-3.3,70,0.0,0.25,440
130,0,3,0,10,1,-0.9,64,0.0,0.63,307
131,0,3,0,11,1,1.6,57,1.0954451150103321,0.93,381
132,0,3,0,12,1,2.4,52,0.9486832980505138,1.08,405
133,0,3,0,13,1,4.2,47,1.0488088481701516,1.1,442
134,0,3,0,14,1,5.5,34,1.0,0.96,416
135,0,3,0,15,1,5.5,31,1.760681686165901,0.72,412
136,0,3,0,16,1,5.3,37,1.70293863659264,0.36,496
137,0,3,0,17,1,4.1,60,1.5811388300841898,0.1,239
138,0,3,0,18,1,1.7,90,1.0,0.0,204
139,0,3,0,19,1,1.2,92,0.8366600265340756,0.0,205
140,0,3,0,20,0,1.2,94,0.7745966692414834,0.0,190
141,0,3,0,21,0,1.1,92,0.7071067811865476,0.0,165
142,0,3,0,22,0,1.3,92,0.7745966692414834,0.0,222
143,0,3,0,23,0,1.3,92,0.7745966692414834,0.0,193
144,0,3,0,0,0,1.4,92,0.7071067811865476,0.0,198
145,0,3,0,1,0,1.5,92,0.6324555320336759,0.0,218
146,0,3,0,2,0,1.4,92,0.8366600265340756,0.0,149
147,0,3,0,3,0,1.9,91,1.1832159566199232,0.0,102
148,0,3,0,4,0,1.6,92,0.8366600265340756,0.0,62
149,0,3,0,5,0,1.5,92,1.0488088481701516,0.0,83
150,0,3,0,6,0,1.0,93,0.7071067811865476,0.0,137
151,0,3,0,7,0,0.3,93,0.7071067811865476,0.0,367
152,0,3,0,8,1,-0.2,96,0.8944271909999159,0.01,754
153,0,3,0,9,1,0.1,91,0.8944271909999159,0.14,415
154,0,3,0,10,1,1.1,83,0.8366600265340756,0.41,321
155,0,3,0,11,1,2.3,69,1.3038404810405297,0.63,333
156,0,3,0,12,1,3.7,65,1.5491933384829668,0.98,431
157,0,3,0,13,1,4.1,37,1.760681686165901,1.14,394
158,0,3,0,14,1,4.4,36,1.6431676725154984,1.04,390
159,0,3,0,15,1,4.0,35,1.760681686165901,0.84,430
160,0,3,0,16,1,3.2,38,1.70293863659264,0.51,471
161,0,3,0,17,1,2.1,50,1.4142135623730951,0.15,552
162,0,3,0,18,1,0.7,46,1.6431676725154984,0.0,795
163,0,3,0,19,1,-0.4,47,1.5811388300841898,0.0,507
164,0,3,0,20,0,-1.4,47,1.5811388300841898,0.0,390
165,0,3,0,21,0,-2.2,46,1.4832396974191326,0.0,402
166,0,3,0,22,0,-2.7,48,1.61245154965971,0.0,389
167,0,3,0,23,0,-3.2,50,1.449137674618944,0.0,259
168,0,3,0,0,0,-3.5,49,1.61245154965971,0.0,233
169,0,3,0,1,0,-3.7,50,1.5811388300841898,0.0,230
170,0,3,0,2,0,-4.3,53,1.0,0.0,131
171,0,3,0,3,0,-4.8,52,1.2649110640673518,0.0,99
172,0,3,0,4,0,-5.3,53,1.5491933384829668,0.0,71
173,0,3,0,5,0,-5.8,56,1.4142135623730951,0.0,84
174,0,3,0,6,0,-6.0,56,1.8708286933869707,0.0,158
175,0,3,0,7,0,-6.5,57,0.8944271909999159,0.0,387
176,0,3,0,8,1,-7.0,59,0.8944271909999159,0.01,780
177,0,3,0,9,1,-6.7,50,0.9486832980505138,0.23,395
178,0,3,0,10,1,-5.3,44,1.6733200530681511,0.63,261
179,0,3,0,11,1,-3.7,39,1.1832159566199232,0.93,310
180,0,3,0,12,1,-2.0,30,1.1832159566199232,1.14,355
181,0,3,0,13,1,-1.7,28,1.3416407864998738,1.22,354
182,0,3,0,14,1,-1.3,27,1.760681686165901,1.12,350
183,0,3,0,15,1,-0.8,26,1.816590212458495,0.87,362
184,0,3,0,16,1,-1.1,24,1.8439088914585775,0.56,401
185,0,3,0,17,1,-2.4,30,1.6431676725154984,0.18,500
186,0,3,0,18,1,-3.1,33,1.0954451150103321,0.0,752
187,0,3,0,19,1,-3.3,35,1.0488088481701516,0.0,477
188,0,3,0,20,0,-3.3,34,1.224744871391589,0.0,384
189,0,3,0,21,0,-3.3,35,0.7071067811865476,0.0,336
190,0,3,0,22,0,-3.4,39,1.0954451150103321,0.0,347
191,0,3,0,23,0,-3.5,43,0.9486832980505138,0.0,275
192,1,3,0,0,0,-3.5,48,0.9486832980505138,0.0,267
193,1,3,0,1,0,-4.1,49,0.7745966692414834,0.0,296
194,1,3,0,2,0,-4.7,50,0.8366600265340756,0.0,237
195,1,3,0,3,0,-4.3,47,0.7745966692414834,0.0,169
196,1,3,0,4,0,-4.3,49,0.8366600265340756,0.0,96
197,1,3,0,5,0,-4.7,49,0.8944271909999159,0.0,56
198,1,3,0,6,0,-5.1,53,0.9486832980505138,0.0,76
199,1,3,0,7,0,-5.5,56,0.8944271909999159,0.0,127
200,1,3,0,8,1,-5.4,56,0.8366600265340756,0.01,222
201,1,3,0,9,1,-4.7,48,1.0,0.23,291
202,1,3,0,10,1,-2.2,42,1.140175425099138,0.61,273
203,1,3,0,11,1,0.0,45,1.0488088481701516,0.89,351
204,1,3,0,12,1,2.4,40,0.8944271909999159,1.05,427
205,1,3,0,13,1,3.9,36,1.4142135623730951,1.13,431
206,1,3,0,14,1,4.7,32,1.4832396974191326,1.06,486
207,1,3,0,15,1,5.2,30,1.4142135623730951,0.84,569
208,1,3,0,16,1,4.4,33,1.2649110640673518,0.4,546
209,1,3,0,17,1,3.5,37,1.3416407864998738,0.1,481
210,1,3,0,18,1,2.5,41,1.0,0.0,384
211,1,3,0,19,1,1.5,48,0.6324555320336759,0.0,275
212,1,3,0,20,0,0.8,51,1.1832159566199232,0.0,298
213,1,3,0,21,0,-0.1,55,0.8366600265340756,0.0,321
214,1,3,0,22,0,-0.5,55,0.7745966692414834,0.0,289
215,1,3,0,23,0,-0.1,54,1.140175425099138,0.0,265
216,1,3,0,0,0,-0.2,55,1.0,0.0,326
217,1,3,0,1,0,-0.2,54,0.7071067811865476,0.0,280
218,1,3,0,2,0,0.2,52,0.8366600265340756,0.0,243
219,1,3,0,3,0,0.3,53,0.7071067811865476,0.0,169
220,1,3,0,4,0,0.4,52,1.2649110640673518,0.0,71
221,1,3,0,5,0,0.3,74,1.0,0.0,13
222,1,3,0,6,0,-0.5,90,0.9486832980505138,0.0,9
223,1,3,0,7,0,-0.4,92,1.0488088481701516,0.0,20
224,1,3,0,8,1,-0.2,90,1.0954451150103321,0.0,35
225,1,3,0,9,1,0.2,90,1.0,0.0,31
226,1,3,0,10,1,0.5,91,0.6324555320336759,0.0,19
227,1,3,0,11,1,0.9,92,0.9486832980505138,0.03,58
228,1,3,0,12,1,2.3,88,0.5477225575051661,0.28,119
229,1,3,0,13,1,3.3,87,1.0488088481701516,0.54,182
230,1,3,0,14,1,4.2,85,0.8366600265340756,0.65,235
231,1,3,0,15,1,6.7,63,2.1213203435596424,0.35,180
232,1,3,0,16,1,5.4,71,1.8708286933869707,0.2,214
233,1,3,0,17,1,3.6,65,2.073644135332772,0.03,226
234,1,3,0,18,1,2.0,61,1.7320508075688772,0.0,210
235,1,3,0,19,1,1.6,53,2.0,0.0,181
236,1,3,0,20,0,0.6,57,1.9748417658131499,0.0,165
237,1,3,0,21,0,0.0,59,1.7320508075688772,0.0,167
238,1,3,0,22,0,-1.0,56,2.16794833886788,0.0,152
239,1,3,0,23,0,-1.4,43,2.073644135332772,0.0,148
240,0,3,0,0,0,-2.5,39,1.8439088914585775,0.0,125
241,0,3,0,1,0,-3.4,36,1.9493588689617927,0.0,111
242,0,3,0,2,0,-4.2,35,1.8439088914585775,0.0,67
243,0,3,0,3,0,-4.7,38,1.5491933384829668,0.0,45
244,0,3,0,4,0,-5.2,35,1.7888543819998317,0.0,44
245,0,3,0,5,0,-5.6,38,1.7888543819998317,0.0,86
246,0,3,0,6,0,-5.9,39,1.70293863659264,0.0,136
247,0,3,0,7,0,-6.0,39,1.760681686165901,0.0,325
248,0,3,0,8,1,-6.0,38,1.8973665961010275,0.01,653
249,0,3,0,9,1,-5.9,36,2.258317958127243,0.1,326
250,0,3,0,10,1,-5.3,32,2.1213203435596424,0.62,212
251,0,3,0,11,1,-4.7,36,1.9493588689617927,1.0,226
252,0,3,0,12,1,-5.2,33,2.1447610589527217,1.26,247
253,0,3,0,13,1,-5.4,32,2.258317958127243,1.24,241
254,0,3,0,14,1,-5.4,31,2.0248456731316584,1.13,253
255,0,3,0,15,1,-5.5,33,2.1213203435596424,0.92,269
256,0,3,0,16,1,-6.0,40,2.0,0.55,277
257,0,3,0,17,1,-7.1,44,2.04939015319192,0.18,361
258,0,3,0,18,1,-7.9,43,1.816590212458495,0.0,557
259,0,3,0,19,1,-8.6,45,1.9748417658131499,0.0,371
260,0,3,0,20,0,-9.3,49,1.9493588689617927,0.0,254
261,0,3,0,21,0,-9.7,51,1.5811388300841898,0.0,266
262,0,3,0,22,0,-10.2,50,1.7320508075688772,0.0,222
263,0,3,0,23,0,-10.7,53,1.0954451150103321,0.0,174
264,0,3,0,0,0,-11.0,51,1.0488088481701516,0.0,133
265,0,3,0,1,0,-11.2,51,1.0488088481701516,0.0,127
266,0,3,0,2,0,-11.5,50,0.8366600265340756,0.0,95
267,0,3,0,3,0,-11.6,50,1.4832396974191326,0.0,54
268,0,3,0,4,0,-11.6,47,1.449137674618944,0.0,46
269,0,3,0,5,0,-11.6,45,1.6733200530681511,0.0,65
270,0,3,0,6,0,-11.8,47,1.5811388300841898,0.0,104
271,0,3,0,7,0,-12.1,50,1.51657508881031,0.0,280
272,0,3,0,8,1,-12.3,52,1.140175425099138,0.0,580
273,0,3,0,9,1,-11.8,46,1.70293863659264,0.1,275
274,0,3,0,10,1,-10.5,45,1.816590212458495,0.6,184
275,0,3,0,11,1,-9.4,42,1.760681686165901,0.93,201
276,0,3,0,12,1,-8.3,35,1.70293863659264,1.14,228
277,0,3,0,13,1,-6.9,37,1.5491933384829668,1.22,225
278,0,3,0,14,1,-5.4,32,1.4142135623730951,1.12,258
279,0,3,0,15,1,-5.8,30,1.6733200530681511,0.92,250
280,0,3,0,16,1,-6.0,29,1.6733200530681511,0.58,248
281,0,3,0,17,1,-7.0,32,1.61245154965971,0.19,305
282,0,3,0,18,1,-7.7,36,1.0,0.0,529
283,0,3,0,19,1,-8.2,43,1.0488088481701516,0.0,350
284,0,3,0,20,0,-8.4,42,1.0,0.0,260
285,0,3,0,21,0,-8.8,43,1.1832159566199232,0.0,270
286,0,3,0,22,0,-9.0,45,1.140175425099138,0.0,256
287,0,3,0,23,0,-9.3,47,1.449137674618944,0.0,173
288,0,3,0,0,0,-9.5,48,1.140175425099138,0.0,168
289,0,3,0,1,0,-10.2,52,1.2649110640673518,0.0,183
290,0,3,0,2,0,-10.4,53,1.3416407864998738,0.0,120
291,0,3,0,3,0,-10.9,55,1.3416407864998738,0.0,79
292,0,3,0,4,0,-11.4,58,1.140175425099138,0.0,41
293,0,3,0,5,0,-11.5,58,1.0488088481701516,0.0,68
294,0,3,0,6,0,-11.9,57,1.0488088481701516,0.0,109
295,0,3,0,7,0,-11.7,53,1.2649110640673518,0.0,310
296,0,3,0,8,1,-11.4,47,1.816590212458495,0.0,591
297,0,3,0,9,1,-11.1,46,1.8439088914585775,0.1,340
298,0,3,0,10,1,-9.5,39,1.449137674618944,0.6,202
299,0,3,0,11,1,-8.1,35,1.3416407864998738,0.96,251
300,0,3,0,12,1,-6.5,30,1.70293863659264,1.17,267
301,0,3,0,13,1,-5.8,28,1.70293863659264,1.23,251
302,0,3,0,14,1,-4.7,27,1.70293863659264,1.12,240
303,0,3,0,15,1,-4.9,26,1.760681686165901,0.89,240
304,0,3,0,16,1,-4.5,26,1.4832396974191326,0.56,278
305,0,3,0,17,1,-5.6,29,1.3038404810405297,0.18,392
306,0,3,0,18,1,-6.6,33,1.0488088481701516,0.0,537
307,0,3,0,19,1,-6.6,31,1.2649110640673518,0.0,373
308,0,3,0,20,0,-7.6,35,0.8944271909999159,0.0,263
309,0,3,0,21,0,-8.3,39,1.0,0.0,271
310,0,3,0,22,0,-8.9,39,0.31622776601683794,0.0,271
311,0,3,0,23,0,-9.2,44,0.6324555320336759,0.0,174
312,0,3,0,0,0,-9.5,50,0.7745966692414834,0.0,171
313,0,3,0,1,0,-9.8,48,0.8944271909999159,0.0,170
314,0,3,0,2,0,-10.6,44,0.8944271909999159,0.0,107
315,0,3,0,3,0,-10.7,48,0.6324555320336759,0.0,80
316,0,3,0,4,0,-11.0,50,0.8944271909999159,0.0,52
317,0,3,0,5,0,-10.8,48,0.8944271909999159,0.0,62
318,0,3,0,6,0,-11.0,55,0.8944271909999159,0.0,108
319,0,3,0,7,0,-10.9,57,1.0488088481701516,0.0,279
320,0,3,0,8,1,-10.4,54,1.0488088481701516,0.01,621
321,0,3,0,9,1,-9.4,44,0.7071067811865476,0.13,305
322,0,3,0,10,1,-7.7,43,0.9486832980505138,0.35,189
323,0,3,0,11,1,-6.1,38,1.0,0.52,247
324,0,3,0,12,1,-4.9,34,1.140175425099138,0.6,278
325,0,3,0,13,1,-3.8,32,0.9486832980505138,0.52,282
326,0,3,0,14,1,-2.7,28,0.8366600265340756,0.65,294
327,0,3,0,15,1,-2.5,29,1.0488088481701516,0.48,301
328,0,3,0,16,1,-2.4,28,0.9486832980505138,0.35,335
329,0,3,0,17,1,-2.9,31,0.7745966692414834,0.09,382
330,0,3,0,18,1,-3.5,35,1.0488088481701516,0.0,612
331,0,3,0,19,1,-4.2,40,0.9486832980505138,0.0,410
332,0,3,0,20,0,-4.8,43,1.0488088481701516,0.0,277
333,0,3,0,21,0,-4.8,45,0.8944271909999159,0.0,316
334,0,3,0,22,0,-4.9,44,1.0488088481701516,0.0,309
335,0,3,0,23,0,-5.6,53,1.0954451150103321,0.0,211
336,0,3,0,0,0,-5.7,53,0.7745966692414834,0.0,227
337,0,3,0,1,0,-6.3,57,0.6324555320336759,0.0,241
338,0,3,0,2,0,-6.8,58,0.6324555320336759,0.0,162
339,0,3,0,3,0,-6.9,56,0.7071067811865476,0.0,110
340,0,3,0,4,0,-7.1,59,0.8944271909999159,0.0,69
341,0,3,0,5,0,-7.5,64,0.9486832980505138,0.0,68
342,0,3,0,6,0,-7.4,64,0.8366600265340756,0.0,129
343,0,3,0,7,0,-7.0,63,0.7745966692414834,0.0,285
344,0,3,0,8,1,-6.6,64,1.0488088481701516,0.0,658
345,0,3,0,9,1,-5.9,60,0.7745966692414834,0.09,330
346,0,3,0,10,1,-4.6,52,0.8944271909999159,0.34,221
347,0,3,0,11,1,-2.9,46,1.0,0.42,279
348,0,3,0,12,1,-2.5,43,0.8366600265340756,0.34,309
349,0,3,0,13,1,-1.6,40,0.5477225575051661,0.32,325
350,0,3,0,14,1,-0.7,39,0.8944271909999159,0.35,329
351,0,3,0,15,1,0.1,35,1.224744871391589,0.42,342
352,0,3,0,16,1,0.0,37,0.7745966692414834,0.13,354
353,0,3,0,17,1,-0.2,39,0.8944271909999159,0.0,464
354,0,3,0,18,1,0.1,43,0.9486832980505138,0.0,682
355,0,3,0,19,1,0.6,41,1.0954451150103321,0.0,451
356,0,3,0,20,0,0.9,42,1.0954451150103321,0.0,320
357,0,3,0,21,0,0.7,47,1.6431676725154984,0.0,300
358,0,3,0,22,0,-0.1,49,1.4142135623730951,0.0,296
359,0,3,0,23,0,-1.3,60,1.5811388300841898,0.0,247
360,1,3,0,0,0,-2.6,73,1.8439088914585775,0.0,217
361,1,3,0,1,0,-3.4,76,1.70293863659264,0.0,302
362,1,3,0,2,0,-4.1,73,1.449137674618944,0.0,228
363,1,3,0,3,0,-4.5,71,1.2649110640673518,0.0,129
364,1,3,0,4,0,-5.0,70,1.6431676725154984,0.0,80
365,1,3,0,5,0,-5.6,72,1.4142135623730951,0.0,45
366,1,3,0,6,0,-6.1,69,1.70293863659264,0.0,66
367,1,3,0,7,0,-6.7,64,1.449137674618944,0.0,90
368,1,3,0,8,1,-7.3,62,1.61245154965971,0.0,190
369,1,3,0,9,1,-7.2,47,1.6733200530681511,0.18,195
370,1,3,0,10,1,-6.2,42,1.51657508881031,0.52,201
371,1,3,0,11,1,-5.2,30,2.0,0.86,239
372,1,3,0,12,1,-4.1,28,1.9493588689617927,1.08,252
373,1,3,0,13,1,-3.7,23,2.0,1.12,296
374,1,3,0,14,1,-3.4,22,2.073644135332772,1.07,292
375,1,3,0,15,1,-3.3,22,2.23606797749979,0.86,291
376,1,3,0,16,1,-3.3,24,1.8708286933869707,0.54,258
377,1,3,0,17,1,-4.6,26,1.61245154965971,0.17,277
378,1,3,0,18,1,-5.3,28,1.8708286933869707,0.0,212
379,1,3,0,19,1,-6.0,32,1.5491933384829668,0.0,173
380,1,3,0,20,0,-6.6,37,1.8439088914585775,0.0,143
381,1,3,0,21,0,-7.1,39,1.7888543819998317,0.0,159
382,1,3,0,22,0,-7.6,41,1.2649110640673518,0.0,155
383,1,3,0,23,0,-8.0,41,1.4832396974191326,0.0,142
384,1,3,0,0,0,-8.1,41,1.4142135623730951,0.0,175
385,1,3,0,1,0,-8.4,40,1.2649110640673518,0.0,146
386,1,3,0,2,0,-8.7,40,1.6733200530681511,0.0,132
387,1,3,0,3,0,-9.0,40,1.760681686165901,0.0,100
388,1,3,0,4,0,-9.5,40,1.378404875209022,0.0,41
389,1,3,0,5,0,-9.7,41,1.760681686165901,0.0,31
390,1,3,0,6,0,-9.9,42,1.51657508881031,0.0,39
391,1,3,0,7,0,-10.2,42,1.51657508881031,0.0,53
392,1,3,0,8,1,-10.7,43,0.9486832980505138,0.0,94
393,1,3,0,9,1,-10.5,38,1.0488088481701516,0.19,122
394,1,3,0,10,1,-8.5,31,1.224744871391589,0.58,142
395,1,3,0,11,1,-7.2,29,1.3416407864998738,0.88,189
396,1,3,0,12,1,-4.9,25,1.61245154965971,1.08,216
397,1,3,0,13,1,-4.5,25,1.7888543819998317,1.14,223
398,1,3,0,14,1,-3.2,26,1.760681686165901,1.07,268
399,1,3,0,15,1,-2.5,28,1.4142135623730951,0.85,278
400,1,3,0,16,1,-2.7,31,1.51657508881031,0.54,256
401,1,3,0,17,1,-3.8,35,1.5491933384829668,0.17,266
402,1,3,0,18,1,-4.7,37,1.3416407864998738,0.01,204
403,1,3,0,19,1,-5.6,39,1.0488088481701516,0.0,157
404,1,3,0,20,0,-6.0,42,0.8944271909999159,0.0,166
405,1,3,0,21,0,-6.5,45,0.8366600265340756,0.0,168
406,1,3,0,22,0,-6.6,50,0.7745966692414834,0.0,172
407,1,3,0,23,0,-6.9,53,0.8366600265340756,0.0,138
408,0,3,0,0,0,-5.9,50,0.7745966692414834,0.0,151
409,0,3,0,1,0,-5.3,48,0.6324555320336759,0.0,97
410,0,3,0,2,0,-5.0,65,0.6324555320336759,0.0,38
411,0,3,0,3,0,-5.3,76,1.0,0.0,32
412,0,3,0,4,0,-5.4,81,0.8366600265340756,0.0,29
413,0,3,0,5,0,-5.3,81,0.9486832980505138,0.0,27
414,0,3,0,6,0,-5.2,85,0.9486832980505138,0.0,45
415,0,3,0,7,0,-5.0,85,0.8366600265340756,0.0,96
416,0,3,0,8,1,-4.6,86,1.0954451150103321,0.0,146
417,0,3,0,9,1,-4.3,89,1.0,0.0,52
418,0,3,0,10,1,-3.7,87,1.0,0.03,36
419,0,3,0,11,1,-2.9,85,1.0954451150103321,0.06,44
420,0,3,0,12,1,-1.8,83,1.0954451150103321,0.09,62
